Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Jaden cukup pelupa.,Dia tidak memperhatikan bahwa itu sudah Hari Valentine.,"Merasa terburu-buru, dia keluar dan mengambil beberapa bunga dan coklat.",Pacar Jaden pulang dan menemukan suguhannya.,Jaden telah menyelamatkan hari itu.,Pacar Jaden menampar wajahnya.
Fred selalu berhenti di kedai kopi yang sama sebelum bekerja.,Dia mengenal barista yang menarik.,Dia mulai naksir dia.,Akhirnya Fred memberanikan diri untuk mengajaknya berkencan.,Dia berkata ya.,Fred menyuruh barista untuk meninggalkannya sendirian.
Gina berada di tengah jok belakang dikelilingi oleh saudara kandungnya.,Mereka sedang berkendara ke luar kota dalam lalu lintas padat.,Gina melihat ke luar jendela.,Di gerbong berikutnya seorang anak sedang menunjukkan mulutnya berisi makanan yang sudah dikunyah.,Gina merasa jijik.,Gina terus menatap.
om lelah dengan kehidupan sehari-hari.,"Jadi, dia memutuskan untuk keluar dari grid.","Minggu pertamanya baik-baik saja, tapi segera dia kehabisan air.",Dia menderita selama dua hari dan masih tidak dapat menemukannya.,Akhirnya Tom kembali ke grid.,Tom menyukai gagasan puasa.
"Suatu hari, presiden Amerika Serikat mengunjungi kampung halaman saya.",Saya menunggu dalam antrean berjam-jam untuk menemuinya.,Saya berdiri di depan podium sementara dia memberikan pidato yang menggugah.,"Saat dia pergi, dia menjabat tangan saya!",Saya sangat senang.,Saya benar-benar bosan.
Seorang pria pergi untuk merancang menara tertinggi di dunia.,Dia membuat rencana untuk membuatnya dua kali lebih tinggi dari yang tertinggi saat ini.,Dia membawa rencana itu ke pengembang untuk membangun.,Pengembang bertanya kepadanya berapa tinggi untuk membangun menara.,Pria itu membangun menara dan itu megah.,Pria itu bukanlah seorang desainer bangunan.
Melissa lelah berusaha mengantarkan putranya ke sekolah setiap hari.,Dia selalu terlambat keluar.,Melissa meminta nasihat ibunya.,Dia memutuskan untuk mencoba salah satu saran ibunya.,Ibu Melissa menyarankan agar putranya tidur lebih awal.,Ibu Melissa menyarankan untuk menidurkan putranya nanti.
Teman sekamar saya mendapat pekerjaan baru di tempat saya bersekolah.,Kami memutuskan untuk berkendara untuk bekerja bersama.,Kami masuk ke dalam mobil dan pergi bersama.,Perjalanan itu terasa jauh lebih singkat dengan seseorang untuk diajak bicara.,"Saat perjalanan selesai, kami berpisah.",Tapi aku tidak punya siapa-siapa untuk diajak bicara.
Steve adalah seorang tukang kayu yang ulung.,Dia punya rencana untuk mengejutkan istrinya dengan karya baru.,"Dia telah menginginkan meja baru, jadi itulah yang dia putuskan untuk dibuat.","Dia memotong semua kayu, memasang meja, dan menodainya.",Istri Steve sangat senang dengan hadiah itu.,Istri Steve mengajukan gugatan cerai pada hari yang sama.
Bill pergi memancing dan menangkap banyak ikan.,Dia menangkap begitu banyak sehingga dia harus memberikan beberapa.,Tetangganya miskin dan berterima kasih kepada Bill atas ikannya.,Para tetangga akhirnya bangkit kembali.,Mereka memanggang roti untuk Bill sebagai penghargaan atas semua ikannya.,Tetangga Bill menggugatnya karena membuat mereka miskin.
Chad ingin membuat permainan yang sempurna.,Sabtu lalu dia nyaris.,Dia memiliki semua serangan dan hanya membutuhkan dua lagi.,Dia melewatkan yang kedua dari yang terakhir.,"Dia tidak melewatkan yang terakhir, tetapi masih kecewa.",Chad mencetak touchdown setelah meminta nasihat dari pelatihnya.
Kelly menonton pertandingan Celtics kemarin.,Dia suka pergi ke pertandingan.,Jam terus berdetak dan waktu hampir habis.,Syukurlah Celtics menang.,Kelly melompat kegirangan.,Kelly marah karena Celtics menang dan bukan lawannya.
Keluarga Mary berkumpul untuk makan malam liburan di klub.,Semua orang akan berada di sana kecuali Kakek Mary.,Mary sedih karena seluruh keluarga tidak bisa bersama.,"Ketika dia sampai di klub, dia terkejut melihat kakeknya!",Mary sangat bahagia!,Mary sangat putus asa!
Ibu meminta anak-anaknya membantu melipat cucian.,Anak-anak membawa pakaian bersih ke ruang tamu.,Mereka membuang pakaian itu ke lantai.,Mereka melipat pakaian dengan rapi menjadi beberapa tumpukan.,Mereka lalu menata pakaiannya dengan rapi.,Pakaiannya kotor dan tidak dilipat.
David dan Mia jarang pergi keluar sejak mereka memiliki anak kecil.,"Suatu hari Jumat, mereka akhirnya bisa pergi untuk menonton film.","Mereka sangat menantikannya, tetapi ternyata buruk!","Faktanya, itu sangat buruk sehingga mereka hampir tidak bisa menahan tawa mereka.",David dan Mia memutuskan untuk keluar dari film.,David dan Mia menganggap film itu luar biasa.
Fred memutuskan bahwa dia ingin mulai mengingat kehidupan sehari-harinya.,Dia pergi ke toko lokal dan membeli buku harian.,"Sejak hari itu, Fred mencatat semua yang dia lakukan di buku hariannya.",Setahun kemudian Fred merujuk buku harian itu untuk melihat bagaimana dia menghabiskan waktunya.,Fred senang membaca cerita dari masa lalunya.,Fred tidak menyukai buku hariannya.
Gina sedang menggunakan kamar kecil di pom bensin.,"Dia pergi untuk mencuci tangannya, tetapi tidak ada sabun.",Dia mencari di lemari di bawah wastafel berharap menemukan beberapa.,Di sana juga tidak ada sabun.,Jadi dia harus puas membilas tangannya.,Gina mencuri semua sabun yang ada di kamar mandi.
Anjing Ashley memiliki kutu dan menggaruk dirinya sendiri.,Ashley sangat khawatir dia akan terkena kutu juga.,Dia pergi ke toko dan memakai sampo antikutu.,Ashley kemudian pulang dan memandikan anjingnya.,Ashley membunuh semua kutu.,Anjing Ashley penuh dengan kutu hidup.
Ben ingin segelas jus jeruk.,Tidak ada orang di rumah.,"Namun, ada sekantong jeruk.",Dia membelah dua dan mengeluarkan juicer.,Ben membuat jus jeruk segar dari jeruk.,Ben menyesap jus apelnya dengan sepenuh hati.
Laut menakutkan saat badai.,Marcus benci cara perahu itu naik dan jatuh.,Itu membuatnya mual.,Dia meringkuk di kabinnya dan menutup matanya tetapi itu tidak membantu.,Marcus kemudian muntah karena mabuk laut.,Marcus sangat senang sehingga dia mulai menari.
Ben lelah di penghujung hari.,Pelanggan meminta Spaghetti.,Ben terlalu malas untuk mencuci piring dan tapi makanan di tempat yang kotor.,"Seminggu kemudian, restoran tersebut digugat oleh pelanggan.",Pelanggan itu marah.,Pelanggan terangkat oleh layanan khusus.
Tina mengadakan kompetisi skating pertamanya.,Dia sangat gugup.,Dia takut ada yang tidak beres.,Syukurlah dia melakukannya dengan baik.,Tina menempati posisi kedua dalam kompetisi tersebut.,Tina memiliki selimut bayi.
Jerry memberi tahu semua temannya bahwa dia sedang berlari maraton.,Dia meminta beberapa dari mereka mensponsori dia.,Dia tidak pernah benar-benar siap untuk itu.,Dia ketakutan pada hari itu.,"Jerry mencoba berlari maraton tetapi dengan cepat pingsan,",Jerry memenangkan maraton.
Bulu dadaku mulai lepas kendali.,Saya memutuskan saya perlu mengambil beberapa pemangkas untuk itu.,Saya melangkah ke kamar mandi dan mulai mencukurnya.,Rambut mulai tersumbat karena terlalu banyak.,Saya memutuskan untuk melakukan waxing.,Saya memutuskan untuk merekatkan rambut kembali.
Hari pertama sekolah saya berjalan ke sana dengan dua teman terdekat saya.,Kami semua sangat gugup.,"Ketika kami sampai di sekolah, kami memeriksa daftar kelas untuk kelas tiga.",Kami bertiga ditempatkan di ruang kelas yang sama!,Kami tidak bisa mempercayai keberuntungan kami.,Kami bertiga sangat kecewa.
Tami memutuskan untuk mengikuti uji coba bola voli.,"Dia hanya duduk di kelas 8, tapi dia tahu dia bagus.",Dia bermain keras dan memberikan semuanya.,Dia tidak mengira para pemain lain akan sebaik dia.,Semua pemain bagus tapi dia membuat tim.,Tami membuat tim bola basket.
Larry telah memutuskan untuk membantu teman-temannya mempersiapkan pesta.,Dia perlu membawa salad ke pesta.,"Larry mengiris tomat, selada, dan sayuran lainnya untuk salad.","Setelah selesai, dia merasa hebat.",Larry senang dia bisa berkontribusi untuk pesta itu.,Larry memutuskan untuk tinggal di rumah dari pesta itu.
Francine memperhatikan bahwa semua temannya memakai sepatu hak tinggi.,"Meskipun dia menyukai tampilannya, dia membenci perasaannya.",Suatu hari dia memutuskan untuk memakai sepatu flat untuk bertemu teman-temannya.,Semua temannya memuji penampilan mereka yang luar biasa.,Francine senang dia memakai sepatu yang nyaman!,Francine menguji ulang rumus untuk genom yang hilang.
Mike selalu memiliki anjing Golden Retriever saat ia tumbuh dewasa.,"Sekarang setelah dia memiliki pekerjaan tetap, dia merasa siap untuk memiliki seekor anjing juga.",Mike mendapatkan Golden Retriever dan menamainya Spot.,Sekarang Mike dan Spot berjalan-jalan di taman setiap akhir pekan.,Mike sangat mencintai Spot temannya yang setia.,"Mike mengira Spot adalah kucing yang aneh, tapi dia menyukainya."
"Kaylee pergi bekerja di Cedar Point, taman hiburan.","Saat bekerja di Cedar Point, dia bertemu James.",Kaylee dan James mulai menyukai satu sama lain dan segera mulai berkencan.,"Satu tahun kemudian, James melamar Kaylee.",Kaylee dan James menikah pada musim gugur.,James sedih dengan lamaran itu.
Nita sedang bermain remi dengan ayahnya.,Dia telah kalah sepuluh pertandingan berturut-turut!,Mereka mempertaruhkan poin mereka pada satu pertandingan terakhir.,"Nita bermain keras dan bagus, dan dia menang!",Nita sangat senang akhirnya dia memukuli ayahnya dengan remi.,Nita benci bermain remi.
Bob mendapat kubus rubix untuk Natal.,Dia berjuang untuk memecahkan teka-teki itu.,"Akhirnya, dia bisa menyelesaikan setengahnya.","Namun, solusi lengkap tetap sulit dipahami.",Bob bekerja keras dan akhirnya memecahkan teka-teki itu.,Bob kemudian menyerah pada video game tersebut.
Ignacio ingin berolahraga saat dia kuliah.,"Karena dia perenang yang baik, dia memutuskan untuk ikut serta dalam tim renang.",Ignacio berhasil masuk ke tim dengan mudah.,"Pada pertandingan renang pertama, Ignacio memenangkan tempat kedua!",Ignacio memenangkan medali perak.,Ignacio berhenti berenang.
Colin diundang ke bar oleh teman-temannya.,Dia suka bir tapi menganggapnya terlalu mahal di bar.,Dia memutuskan untuk tetap pergi.,Dia memberi dirinya anggaran.,Colin berpegang teguh pada anggarannya dan hanya minum 2 bir.,Colin minum bir di bar sepanjang malam.
Ray dan teman-temannya berencana pergi ke pantai.,Jadi Ray berlatih untuk membangun ototnya.,"Ketika Ray dan teman-temannya pergi ke pantai, mereka melihat tubuh Ray.",Ray senang menjadi pusat perhatian.,Semua temannya iri dengan fisik barunya.,Ray berlari menangis ketika semua orang tertawa dan menunjuk.
Seorang pria sedang berlari di jalan setapak di taman negara bagian.,Dia sampai di sebuah gerbang di jalan setapak.,Gerbang itu tampak cukup rendah untuk melompat.,Pria itu melompat setinggi yang dia bisa sambil berlari.,Pria itu melompati gerbang.,Pria itu pergi ke bawah gerbang.
Cole diberi batu bara untuk Natal sebagai hadiah lelucon.,Cole masih muda dan menganggapnya sangat serius.,Cole berperilaku baik selama berbulan-bulan setelah itu.,Akhirnya Cole melupakan kejadian itu.,Cole tidak pernah mendapatkan batu bara lagi.,"Cole memikirkan kejadian itu setiap hari setelahnya,"
Sue terbangun di tengah malam karena bau tak sedap.,Dia tidak tahu apa itu.,Dia melihat sekeliling ruangan.,Kemudian dia melihatnya.,Sarah menemukan susu busuk di mejanya.,Sarah mulai menonton TV.
Larry takut ketinggian.,Dia selalu merencanakan perjalanannya untuk menghindari jembatan tinggi.,"Sial bagi Larry, suatu hari dia dialihkan ke rute lain.",Larry mulai berkeringat saat melihat jembatan menjulang di atasnya.,Dia berbalik untuk memilih rute lain.,Larry tertawa kegirangan saat dia melewati jembatan.
Joe dan Mary mengundang teman-teman untuk makan malam.,Mereka berkumpul di dapur dan menyiapkan pizza.,"Saat pizza dimasak, pasangan itu mendapat permainan papan.",Game yang dimainkan selama berjam-jam.,Mereka semua bersenang-senang.,Mereka semua memutuskan untuk tidak melakukannya lagi.
Sal marah karena orang tuanya pindah.,Mereka pindah ke lantai delapan sebuah gedung.,Dia benci hidup setinggi itu.,"Setelah pindah, dia melihat keluar jendela kamar tidurnya.",Pemandangan yang indah membuatnya berubah pikiran.,Sal melemparkan bantalnya ke luar jendela.
Saya berpikir untuk mendapatkan topi baru untuk kepala saya.,"Setelah melihat-lihat gambar, saya memilih satu.",Topi ini akan menjadi luar biasa!,Saya segera pergi ke toko untuk membeli topi itu.,Sayangnya itu membuatku terlihat seperti kentang.,Kemejanya pas.
Joanie bersiap-siap mengeringkan rambutnya untuk kencan.,Dia kesal karena pengering rambutnya hilang.,"Kemudian, Joanie mendengar suara yang familiar datang dari luar.",Dia melihat kakaknya menggunakan pengering rambut.,Joanie berlari keluar untuk menghadapi kakaknya.,Joanie senang dengan kakaknya.
Ron sedang menonton pengejaran berkecepatan tinggi di TV.,Polisi itu mengejar orang jahat itu melalui lingkungannya.,Itu menakutkan!,Tapi kemudian polisi menangkap orang jahat itu.,Ron memuji kinerja petugas itu.,Ron mulai mengumpulkan tutup botol.
Neil terbang ke Rusia.,"Di sana, dia mengunjungi lokasi wisata dan melihat penduduk setempat yang ramah.",Dia menemukan bahwa Rusia penuh warna dan bersemangat.,Itu juga memiliki sejarah yang hebat dan kaya.,Neil merasa perjalanan itu menggairahkan.,Neil merasa perjalanan itu membosankan.
Seorang pria membelikan putranya sebuah sepeda.,Itu adalah merek sepeda yang sama yang dimilikinya saat dia masih kecil.,Sepedanya bertahan sampai dia membesarkannya.,"Namun, sepeda putranya hancur hanya dalam beberapa minggu.",Pria itu sangat kesal.,Pria itu kagum pada teknik baru sepeda itu.
Megan telah berjuang melawan kebiasaan narkoba selama bertahun-tahun.,Dia mencapai titik terendah ketika dia kehilangan keluarga dan anak-anaknya.,Keluarga jauhnya memutuskan untuk melakukan intervensi.,"Setelah acara tersebut, dia masuk ke fasilitas rehabilitasi.",Dia bisa berhenti dari narkoba setelah beberapa waktu.,"Ketika dia tiba, dia menggunakan narkoba sepanjang hari."
Jesse baru saja mulai kelas lima.,"Dia mencoba berteman dengan anak laki-laki lain, tetapi dia tidak bisa.",Dia memutuskan untuk berteman dengan gadis-gadis itu.,Gadis-gadis itu menyambutnya dengan senang hati ke dalam kelompok sosial mereka.,Jesse diganggu oleh anak laki-laki lain di sekolah.,"Jesse pergi ke taman bersama teman barunya, Roger."
"Laura selalu suka berenang, tetapi dia tidak pernah mencoba gaya punggung.",Dia biasanya menghindari gaya punggung karena tidak ingin air masuk ke telinganya.,Suatu hari dia memutuskan untuk mengambil pelajaran gaya punggung dari perenang ahli.,Dia menemukan bahwa dia menyukai gaya punggung dan tidak mendapatkan air di telinganya.,"Sejak saat itu, dia berenang gaya punggung terus-menerus.",Dia bekerja keras untuk menyempurnakan rutinitasnya di palang paralel.
Suatu hari Johnny sedang mengemudi ketika dia merasakan tonjolan yang aneh.,Dia menepi dan melihat bannya kempes!,Dia memeriksanya lebih dekat dan melihat dia telah menabrak paku.,Johnny harus mengenakan donat itu dan pergi ke bengkel.,Mereka memperbaikinya dan Johnny pulang.,Johnny sangat senang karena bannya kempes.
"Karen telah pergi ke sekolah, meninggalkan rekannya Sam.","Sam merindukan Karen, tapi dia punya rencana untuk memperbaikinya.","Pada akhir pekan yang panjang, Sam naik kereta ke utara untuk mengunjungi Karen.","Karen yang merindukan Sam, punya rencana untuk memperbaikinya juga.","Dia pulang untuk melihat Sam, dan mereka merindukan satu sama lain!","Dia putus dengan Sam, meninggalkannya patah hati."
Greg suka melempar apa saja yang bisa dia pegang.,Suatu hari dia melempar batu sejauh yang dia bisa.,Itu melewati jendela rumah tetangganya.,Dia takut tetapi ingin melakukan hal yang benar.,Greg memberi tahu tetangganya bahwa itu dia.,Greg menyalahkan anak laki-laki lain yang rusak jendela.
Io muncul dalam drama sekolah.,Kostumnya membutuhkan rok lingkaran.,Io tidak bisa menemukan rintangan di mana pun!,Ibunya memutuskan untuk membuat lingkaran itu sendiri di rumah.,Lo memiliki kostum terbaik dalam drama itu.,Lo sudah memikirkan soal matematika.
Putri saya mendapatkan semua kata pada tes awal ejaannya dengan benar pada hari Senin.,"Karena itu, dia tidak harus mengikuti post-test hari Jumat.",Dia sangat bersemangat saat menunjukkan tesnya padaku.,Dia mengatakan kepada saya bahwa tidak banyak dari anak-anak lain yang membuat mereka baik-baik saja.,Putri saya sangat bangga pada dirinya sendiri.,Putri saya mengikuti post-test pada hari Jumat.
Kelly sedang membaca tentang hewan hibrida online.,Dan dia melihat gambar liger.,Dia terkesan dengan ukuran dan kekuatan mereka.,Tapi dia bertanya-tanya apakah mereka bisa hidup di alam liar.,Kelly hanya melihat mereka di kebun binatang.,Kelly teringat saat neneknya menunjukkan bunga itu padanya.
Bob suka menonton film.,Dia menantikan akhir pekan tiga hari yang akan datang.,Dia membuat daftar film favoritnya dan mengundang beberapa temannya.,Dia menghabiskan akhir pekan bersama teman-temannya menonton semua film favoritnya,Bob bersenang-senang.,Bob berhenti berbicara dengan teman-teman itu.
Setelah Igor bangun dia mulai bersiap-siap untuk bekerja.,Dia menyalakan pancuran dan menunggu sampai panas.,Airnya tetap dingin.,Dia berdebat antara mandi air dingin dan tidak mandi.,Igor mandi air dingin.,Dia makan muffin.
"Sonny tinggal di Texas, dan saat itu musim panas yang terik.",Dia sangat muak karena panas.,Dia memutuskan untuk mencari cara untuk menenangkan diri.,"Awalnya, dia tidak bisa memikirkan apa pun.",Dia kemudian memutuskan untuk melompat ke kolamnya.,Dia memutuskan untuk menyalakan pemanasnya.
Anak laki-laki saya membeli satu set drum untuk keponakannya yang berusia satu tahun musim gugur lalu.,"Set itu memiliki stik drum, simbal, dan tempat duduk.",Keponakannya tinggal di NYC.,"Dia melihatnya ketika dia berkunjung, dan sangat senang.",Dia ingin bermain drum.,Dia benci musik.
Kelly bekerja di Cedar Point selama musim panas.,"Suatu hari, ketika dia bekerja, dia menemukan $ 20 di tanah!",Dia berlari ke bilik keamanan dan memberi mereka $ 20.,"Setelah seminggu, tidak ada yang mengklaim uang itu.",Kelly menggunakan uang itu untuk mentraktir semua temannya dengan es krim.,Kelly dipecat karena tidak jujur.
"Saat sarapan, saya melihat seorang wanita.",Dia manis jadi aku meneleponnya.,Dia duduk dan kami mengobrol selama berjam-jam.,Kami benar-benar rukun.,Saya mendapatkan nomor teleponnya.,Wanita itu menyuruhku untuk meninggalkannya sendiri.
Amy pergi ke toko kelontong setelah bekerja.,Dia memiliki daftar pendek item untuk dibeli.,Toko itu kehabisan setengah barang.,Amy harus pergi ke toko kelontong kedua.,Setelah itu dia bisa pulang dan memasak makanan enak.,Dia membeli dua rok dan satu blus.
Dan ingin menemukan kado yang sempurna untuk ulang tahun ibunya.,Dia berbelanja di mal selama berjam-jam dan tidak dapat menemukan apa pun.,Dia pulang dengan kecewa dan tanpa hadiah.,Ibunya melihat wajahnya ketika dia masuk dan bertanya ada apa.,Dan menjelaskan situasinya dan ibunya tidak kesal.,Dan berteriak pada ibunya karena pilih-pilih.
Tommy berlatih keras untuk menjalankan 5K pertamanya.,Saat balapan dia merasa frustasi ketika banyak orang yang melewatinya.,"Ketika dia mendengar namanya dipanggil saat penghargaan, dia terkejut.",Dia tidak menyadari mereka akan melakukan penghargaan berdasarkan kelompok umur.,Dia bangga bisa finis pertama berdasarkan usia tetapi secara keseluruhan kesepuluh.,Dia malu karena tidak mendapat pengakuan apapun.
Jane perlu mendapatkan uang tambahan.,Dia ingat eksperimen psikologi berbayar di perguruan tinggi.,Jane mencari eksperimen berbayar dan menemukan Mechanical Turk.,Dia sekarang dapat berpartisipasi dalam eksperimen psikologi di rumah.,Jane akhirnya bisa mendapatkan uang tambahan.,Jane memutuskan untuk tidak berpartisipasi dalam eksperimen psikologi lagi.
Yvonne selalu kelebihan berat badan.,Untuk Tahun Baru dia membuat resolusi untuk mulai berolahraga.,Dia mulai joging setiap hari.,Dalam dua bulan dia telah kehilangan 23 pon.,Yvonne bangga pada dirinya sendiri.,Yvonne merasa kalah.
Ana menunda mencuci pakaian.,Akhirnya dia tidak bisa menghindarinya lagi.,Dia membawa semua pakaiannya ke binatu.,"Selama beberapa jam, dia mencuci dan mengeringkannya.",Ana memutuskan untuk tidak menunggu selama itu lagi.,Ana membutuhkan waktu beberapa jam untuk mengeringkan jamu.
Sahabat Jason akan menikah di India tahun depan.,Jason memutuskan bahwa dia ingin belajar bahasa Hindi sebelum pernikahan.,Dia menyewa seorang tutor dan berlatih berbicara bahasa Hindi setiap hari.,"Saat hari pernikahan tiba, Jason fasih berbahasa Hindi!",Semua orang terkesan karena Jason menjadi bilingual.,Sahabat Jason tidak terkesan.
Diana membersihkan gedung perkantoran untuk mencari nafkah.,Dia mencuci toilet dan menggosok lantai.,Pada hari Jumat dia benar-benar sakit dan mual di tempat kerja.,Dia tidak bisa mengambil cuti.,Dia muntah di toilet.,Dia makan siang yang banyak.
Jennifer ingin bergabung dengan band sekolah.,Dia mulai mengambil pelajaran bermain cello.,"Dia membuat kemajuan, tapi tidak cepat.",Dia tidak merasa siap untuk mencoba band.,Jennifer bekerja keras pada pelajarannya dan masuk ke band.,Jennifer tidak pernah mengambil pelajaran cello.
Bernice selalu ingin bepergian ke Afrika.,Bernice memutuskan dia akan melakukan perjalanan untuk ulang tahunnya tahun depan.,Bernice mulai melihat harga tiket pesawat untuk perjalanan tersebut.,"Selain itu, Bernice juga mencari harga hotel.",Bernice memutuskan untuk mendapatkan tiket pesawat dan memesan kamar.,Bernice pergi ke Eropa untuk merayakan ulang tahunnya.
Ava harus pergi berbelanja dengan anaknya yang berusia dua tahun.,Tapi dia tidak bisa menemukan sepatunya bahkan setelah mencari ke mana-mana!,Dia memutuskan dia tidak punya pilihan selain membelikannya sepatu baru.,Dia membawanya ke toko untuk memilih pasangan baru.,Ava merawat putranya dengan baik.,Ava adalah ibu yang lalai.
Andrew tidak pernah mendapat masalah apa pun.,Orangtuanya pergi ke luar kota selama seminggu.,Teman Andrew datang dan ingin minum.,Jadi Andrew mengeluarkan simpanan alkohol rahasia orang tuanya.,Mereka minum alkohol dan mabuk.,Andrew berharap orang tuanya minum alkohol.
Kakak ipar saya Sally menghubungi keluarga bulan lalu.,Sally terasing dari keluarga.,Dia melarikan diri untuk menikah dan tidak tetap berhubungan.,Suaminya sekarang dirawat di rumah sakit.,Sally ingin memberi tahu keluarga tentang kondisi suaminya.,Sally akhirnya menjadi sahabatku.
Johnny menginginkan perubahan dari kehidupan kota besarnya di Boston.,Dia memutuskan dia akan lebih bahagia di Heartland Amerika.,"Akhirnya hari itu tiba, Johnny pindah ke Idaho.",Dia telah lolos dari kehidupan kota besar.,Johnny senang berada di kota kecil.,Johnny mulai berencana pindah ke Boston.
India ingin mencoba Es Kopi.,India memutuskan untuk membuat Es Kopi sendiri di rumah.,India menyiapkan kopi di mesin untuk minuman.,India kemudian mengambil susu dan es untuk diminum.,"Ketika dia selesai menyiapkan, dia mengkonsumsi minuman yang enak itu.",Dia kemudian meminum cokelat panasnya.
Ibu Teresa sedang hamil.,Teresa sangat senang memiliki adik perempuan yang baru lahir.,"Namun, saat bayinya lahir, ia merasa sebaliknya.",Dia merasa orang tuanya tidak memperhatikannya.,Teresa sedih dan memohon perhatian.,Teresa sangat senang.
"Taman Ben tidak terlalu bagus, karena banyak hal tumbuh, tetapi tidak baik.",Wilson menunjukkan kepada Ben cara membuat kompos dengan rumput dan daun.,Ben memulai tumpukan kompos di musim gugur dengan tanamannya yang gagal.,Ben menambahkan daun ke tumpukan komposnya dan menunggu sampai musim semi.,Tahun berikutnya tamannya indah dan sehat.,Pada musim semi dia memutuskan untuk tidak membuat taman.
Janet selalu ingin bermain film.,Dia akhirnya mendapatkan peran dalam film besar.,Itu akan debut secara nasional minggu lalu.,Sayangnya itu tertunda.,Janet kecewa.,Janet merasa lega.
Danny suka piknik.,Paisley adalah pacar Danny.,"Suatu hari, Danny mengajak Paisley piknik.",Dia sangat menikmati dirinya sendiri.,Danny senang bisa berbagi kencan piknik dengannya.,Paisley memutuskan putus dengan Danny setelah piknik.
ohn dan Sue sering berciuman di sekolah di sela-sela jam pelajaran.,Mereka diberitahu untuk tidak melakukannya tetapi mereka tetap melakukannya.,Suatu hari kepala sekolah memergoki keduanya berciuman.,Mereka berdua diskors selama seminggu.,Mereka berdua belajar dan tidak lagi berciuman di sekolah.,Orang tua mereka bersama-sama mengadakan pesta besar untuk merayakannya.
Randy memperhatikan dengan cermat cincin pertunangan di toko perhiasan.,Dia melihat cincin yang indah dengan berlian besar di tengahnya.,Randy bertanya kepada petugas itu apakah dia bisa melihat cincin itu lebih dekat.,Cincin itu bahkan lebih indah dari dekat!,Randy membeli cincin itu.,Randy lari sambil berteriak.
Allison memutuskan dia ingin mempelajari lebih lanjut tentang sejarah daerahnya.,Dia pergi ke perpustakaan untuk melihat-lihat buku tentang itu.,Dia masuk ke dalam dan tidak bisa memahami bagaimana buku-buku itu diurutkan.,Dia menemukan pustakawan yang menjelaskan sistem desimal dewey.,Itu membantunya menemukan apa yang diinginkannya.,Itu membantunya mengetahui mobil mana yang tidak dia inginkan.
Tim ingin bepergian ke luar negeri.,Dia belum pernah naik pesawat sebelumnya.,Dia memutuskan untuk melakukan perjalanan ke China melalui udara.,Dia benar-benar menikmati penerbangan itu!,Tim mulai bepergian ke banyak tempat dengan pesawat terbang.,Tim berjanji tidak akan naik pesawat lain lagi.
Saya kehabisan mie.,Saya masuk ke mobil saya dan bergegas ke toko.,Saya membeli mie merek favorit saya.,Saya buru-buru pulang.,Saya memasak mie.,Saya membuang mie ke tempat sampah.
Keponakan saya melamar pekerjaan di RMV dua tahun lalu.,Dia mendapatkan pekerjaan itu dan sangat senang.,"Mereka memberitahunya bahwa dia membutuhkan SIM, yang tidak dia miliki.",Dia menunjukkan kepada majikannya sebuah catatan dokter yang menunjukkan bahwa dia tidak bisa mengemudi.,Mereka memutuskan tidak apa-apa membiarkannya bekerja sebagai sekretaris.,Dia memiliki rekor mengemudi yang sempurna.
Addie sedang bekerja di mal di Hollister ketika seorang pria asing masuk.,"Sebelum dia menyadarinya, Addie melihat ke belakang dan melihat pakaian curian.",Addie ketakutan dan mencoba mengusir pria itu.,Untungnya penjaga datang dan menangkapnya.,Addie merasa lega dan menarik napas dalam-dalam untuk menenangkan dirinya.,Addie dipenjara karena kejahatannya.
Itu adalah pertandingan kedua musim bola voli.,Amy berharap dia mendapat kesempatan untuk bermain.,Setelah pertandingan pertama mereka unggul.,Pelatihnya memasukkannya ke dalam permainan.,Dia akhirnya mendapat kesempatan untuk bermain dalam pertandingan tersebut.,Dia meminta pelatih untuk mencari orang lain.
Laura memutuskan untuk terbang sampai ke New York City.,Dia terbang khusus untuk menata rambutnya.,Dia ingin rambutnya dipotong oleh penata gaya selebriti.,"Ketika Laura menyelesaikannya, dia menyukainya.",Pujian yang dia dapatkan membuat Laura berpikir bahwa perjalanan itu sepadan.,Laura memakai topi sepanjang minggu untuk menyembunyikan rambutnya.
Ben selalu ingin belajar bermain piano.,"Sekarang, setelah anak-anaknya beranjak dewasa, dia memiliki lebih banyak waktu luang.",Ben mendaftar di kelas piano dengan tutor lokal.,"Meski sulit, dia berdedikasi untuk belajar.",Dia menjadi lebih baik dengan setiap pelajaran.,Dia menyerah karena itu terlalu sulit.
Semua orang menyukai Bob karena dia memainkan karakter populer di film.,Bob membencinya karena dia tidak seperti karakter itu.,Jim meminta Bob untuk mengatakan frase tangkapan karakternya.,Itu terlalu berlebihan bagi Bob dan dia meledak dengan amarah.,Bob menyuruh pria itu untuk meninggalkannya sendirian.,Bob meminta teh pada pria itu.
Saya masuk ke perpustakaan dan duduk.,"Ketika saya melihat sekeliling, saya melihat seorang anak kecil.",Dia menatapku sebentar.,Saya menjadi frustrasi dan bangkit dari kursi.,Saya bertanya kepadanya apa masalahnya.,Saya tidak keberatan dengan apa yang dilakukan anak itu.
