Kalimat-1,Kalimat-2,Kalimat-3,Kalimat-4,Correct Ending,Incorrect Ending
Sudah beberapa hari Marina tidak bertemu dengan Karina,Sahabatnya itu tiga hari tidak masuk sekolah,Wali kelas mereka juga tidak mendapat kabar apapun dari Karina,Marina memutuskan akan mengunjungi Karina sepulang sekolah,Ia khawatir dengan kondisi sahabatnya itu,Marina ingin menagih hutang pada Karina
Melisa kapok menggunakan sepatu hak tinggi,Ia memang tidak terbiasa menggunakan sepatu hak tinggi,"Namun, ia malu jika menggunakan sepatu biasa",Teman-temannya semua datang ke wisuda menggunakan sepatu hak tinggi,"Akibatnya, ia jadi susah berjalan dan kakinya lecet",Sepatu hak tinggi biasa digunakan oleh wanita
Semua siswa harus mengenakan pakaian yang rapi dan lengkap,Isyah lupa mengenakan dasi dan ikat pinggang,Isyah panik dan khawatir,Jerom meminjamkan dasi dan ikat pinggangnya yang lain,Isyah tidak dihukum oleh guru,Isyah berpakaian dengan rapi dan lengkap
Tawa cekikikan Ofira terdengar sampai kursi Amani.,Amani menoleh penasaran.,Kepala Ofira menunduk di mejanya.,Amani melangkah ke samping Ofira untuk melihat apa yang membuat Ofira tertawa.,Ternyata Ofira sedang membaca komik.,Ternyata Ofira sedang tidur.
Risa sangat menyukai kopi,Ian memberikan Risa secangkir kopi,Risa duduk di sebelah Ian,Risa menuangkan Ian secangkir kopi,Risa dan Ian menikmati kopi bersama,Ian sedang pergi dinas ke luar kota
"Sore itu, kami kembali melakukan aksi.",Menyusuri setiap bagian pasar untuk menyisir barang-barang yang tertinggal oleh pedagang.,"""Teman-teman, lihat, ada sepatu yang masih bagus"" tiba-tiba salah seorang temanku berteriak.","""wah.. merk nya juga belum dicopot. kita kemanakan ini?"" tanya salah seorang temanku lagi.","""Kita beri ke penjaga pasar, agar dikembalikan ke pedagangnya"" Kami semua mengangguk setelah mendengar saran dari dana, si ketua geng yang selalu bijak.","""Ini milikku. awas kalian semua!"" ucap dana dengan nada suara marah."
Guru matematikaku bernama Ibu Susan,Beliau orang yang pintar sekali dan juga baik,Beliau lulusan Harvard,Namun beliau mau mengajar di SD desa kami,Semua murid menyukai beliau,Bu Susan adalah ibu dari anakku
Alana sangat senang membuat puisi,Alana selalu menuliskan keresahan dalam bait puisi,Alana paham banyak hal yang tidak bisa orang lain pahami,Dio selalu memahami maksud dari puisi Alana,Dio selalu mendorong Alana untuk berkarya,Tidak ada orang yang mengerti dengan maksud dari puisi Alana
Bila pernah membuat kesalahan,Bina merasa sangat menyesal,Jiray sangat membenci Bila,Bila tidak pernah bermain bersama Jiray lagi,Bila membuat kesalahan terhadap Jiray,Jiray selalu bersama dengan Bila
Taipei ingin memasak nasi,Tidak ada persediaan nasi di rumah Taipei,Taipei pergi ke supermarket,Taipei membeli sekarung beras,Taipei dapat memasak nasi dari beras yang dibelinya di supermarket,Taipei tidak bisa memakan nasi
Alice menguasai ilmu bela diri,Alice dapat melindungi dirinya sendiri,Alice dirampok oleh seorang pencopet,Alice menghajar pencopet tersebut,Alice mendapatkan barangnya kembali,Alice berteriak ketakutan
Farel bergegas menyusun kekuatan,Semue elemen yang ada disatukan,Farel sendiri yang memimpin konsolidasi,Semua elemen harus segera memberontak,Farel tidak bisa tinggal diam dengan kezaliman penguasa,Farel tidak bisa memberontak
Kahlil mendapatkan surat cinta dari adik kelasnya,Kahlil diam-diam juga mencintai adik kelasnya,Teman Kahlil menyarankan agar membalas surat tersebut,Kahlil menyetujui saran dari temannya,Kahlil membuat surat balasan untuk adik kelasnya,Kahlil benci mendapatkan surat cinta
Kiara senang membuat cerita tentang kehidupan,Kiara sering membuat cerita tentang dirinya,Kiara telah menerbitkan 5 buku novel,Semua ide cerita Kiara berasal dari perjalanan hidupnya,Buku novel yang dibuat Kiara diadaptasi dari kisahnya sendiri,Kiara menerbitkan kamus ensikplodia
Ariana pandai memasak berbagai macam makanan.,"Namun ada satu yang tidak bisa ia masak, yaitu pasta.",Ariana ingin bisa memasak pasta sebaik ia bisa memasak makanan lain.,Untuk itulah ia berada di sini sekarang.,"Ariana duduk di kursi dalam sebuah ruangan luas, mendengarkan seseorang di depan yang sedang menjelaskan teknis pelaksanaan kursus memasak pasta.","Ariana duduk di ruang tunggu salon, menunggu gilirannya untuk potong rambut."
Mata Valdi memiliki minus yang sangat tinggi.,Itulah sebabnya Valdi selalu duduk di depan ketika di kelas.,Tulisan di papan tulis tidak akan terlihat oleh Valdi jika ia duduk di belakang.,"Untungnya, tinggi badan Valdi hanya tinggi rata-rata sehingga tidak menutupi tulisan di papan tulis.","Jadi tidak ada anak yang protes walaupun Valdi selalu duduk di depan, mereka mengerti.",Jadi Valdi memilih untuk tidak datang ke sekolah.
Ayah mengajak Eka membeli karcis,Ayah mengenal masinis kereta yang akan mereka naiki,Eka memperhatikan ayahnya yang sedang berbincang,Ayah mengenalkan Eka kepada masinis tersebut,Eka senang berkenalan dengan orang baru,Eka tidak mau ikut pergi dengan ayah
Kakak membeli sebuah lampu warna-warni,Adik ingin memiliki barang tersebut,Adik meminta kakak untuk membelikannya,Kakak membelikan adik lampu yang sama,Kakak sangat menyayangi adiknya,Kakak membenci adik yang selalu mengikutinya
Perkataan Ibu ibarat titah dari ratu bagi Ojan.,Seluruh perkataan Ibu akan dipatuhi oleh Ojan.,Ibu tidak pernah memaksa Ojan melakukannya.,Ojan sendiri yang memang tidak pernah mau menentang Ibu.,"Apa pun yang Ibu katakan, Ojan akan selalu menjawabnya dengan iya.","Apa pun yang Ibu katakan, Ojan tidak pernah peduli."
Atletik adalah ekskul baru di sekolah Rissa.,"Rissa suka berlari, makanya ia memutuskan untuk bergabung di ekskul atletik.",Kegiatan pertama ekskul atletik akan dilakukan nanti pada jam sepulang sekolah.,"Begitu bel pulang sekolah berbunyi, Rissa segera berjalan menuju lapangan sekolah.",Di sana telah berkumpul beberapa anggota ekskul atletik yang siap untuk memulai latihannya.,Di sana telah berkumpul anggota ekskul basket yang siap untuk memulai latihannya.
Kanya ingin memiliki lemari baru,Kanya pergi pertukangan kayu untuk memenuhi keinginannya,Kanya memberikan desain impiannya kepada salah satu pekerja,Kanya mendapatkan lemari impiannya 2 bulan kemudian,Pekerja di pertukangan tersebut dapat mewujudkan keinginan Kanya,Kanya membuat sendiri lemari kayu agar sesuai dengan keinginannya
Chiko akan pergi dengan sepeda motor,Chiko lupa memakai helm,Pengendara motor yang tidak memakai helm akan kena tilang,Polisi berjaga sepanjang jalan yang dilewati Chiko,Chiko terkena tilang karena tidak memakai helm,Chiko menilang pengendara bermotor
Mamat paling tidak suka menginap di rumah pamannya,Rumah pamannya terletak jauh dari kota,Rumahnya adalah rumah tua model Belanda,Hal yang paling membuat Mamat tidak suka adalah minimnya penerangan,"Saat malam tiba, rumah pamannya menjadi sangat menyeramkan",Mamat harus menyalakan api unggun agar rumahnya terang
Nazifa sangat menyukai pelangi,Pelangi akan muncul setelah hujan,Nazifa akan menanti hujan selesai,Nazifa tidak melihat pelangi pada hari itu,Hujan tidak turun pada hari itu,Nazifa tidak pernah melihat pelangi
Kerasnya hati akan luluh dengan kelembutan,Karina selalu memberikan kelembutan pada orang yang ditemuinya,Banyak orang yang menyukai Karina,Karina tidak merasa tinggi hati,Karian selalu bersikap ramah pada semua orang,Karina tidak senang bertemu dengan orang lain
Rusi diajak ibu pergi ke salon,Rusi meminta perawatan rambut di salon tersebut,Rambut Rusi menjadi lebih baik,Rusi juga meminta perawatan untuk wajahnya,Wajah Rusi menjadi lebih segar,Rusi lebih senang tidur di rumah
Wafda membeli sapu ijuk titipan Ibu di pasar.,"Ia juga membeli kemoceng, sapu lidi, dan pengki.",Ibu ingin mengganti alat-alat kebersihan di rumah yang sudah tidak layak pakai.,Wafda membawa barang titipan Ibu dengan menaiki motor.,"Walaupun sedikit kesulitan pada awalnya karena banyaknya barang, Wafda berhasil kembali ke rumah dengan aman.","Walaupun sedikit kesulitan, Wafda berhasil membeli motor dengan harga murah."
Fadila sudah mendapatkan dosen yang menurutnya enak,Dosen Fadila diganti dengan dosen lain,Fadila khawatir dengan cara mengajar dosen tersebut,Fadila tetap mengusahakan yang terbaik,Fadila berjuang mendapatkan nilai terbaik di mata kuliah tersebut,Fadila menjadi malas mengikuti mata kuliah tersebut
"""Kau terlihat bahagia"" tiba-tiba ia kembali bersuara setelah beberapa menit hanya deburan ombak yang terdengar.","""Maksudmu aku terlihat gemukan sekarang?!"" Sungguh, aku hanya pura-pura marah.","""Haha bukan begitu, tapi kau memang bahagia kan?"" Aku diam sejenak, berpikir, apa yang harus ku jawab.","""Hmm yaa.. aku.. bahagia.."" akhirnya aku menjawab.","""baiklah, sepertinya memang begitu"" entah apa maksudnya, ia tersenyum lega setelah mendengar jawabanku.",Ia menarik tanganku untuk menyeberangi sungai itu.
Hari paling tidak suka digelitiki,Ia sangat mudah kegelian jika digelitiki,"Apabila ada yang menggelitikinya, Hari akan tertawa","Sekalinya tertawa, ia akan sulit untuk berhenti","Maka dari itu, Hari sering marah jika ada yang menggelitikinya",Hari adalah anak yang sangat periang
Vika sedih karena gagal masuk ke universitas yang ia inginkan.,Beberapa hari ini Vika mengurung diri di kamar.,Ibu dan Bapak khawatir dengan keadaan Vika.,"Bapak pun berinisiatif meminta sepupu terdekat Vika, Maudy, untuk menginap di rumah agar bisa menemani Vika.",Maudy langsung berkata akan ke rumah sekarang begitu Bapak menghubunginya melalui telepon.,Maudy berkata akan mendaftar ke universitas yang diinginkan Vika.
Yoora lebih senang hidup sendiri,Yoora akan marah jika seseorang mengganggu kehidupannya,Yoora tidak memiliki teman,Yoora dapat melindungi dirinya sendiri,Yoora pernah dikhianati dan membuatnya tidak lagi percaya kepada orang lain,Yoora perempuan lemah yang bergantung pada orang lain
Hima sedang bosan sekali les,"Dalam seminggu, jadwalnya penuh dengan les","Di hari Senin, Rabu dan Jum'at ia harus les bahasa",Hari Selasa dan Kamis ia harus les lukis,Bahkan di akhir pekan ia harus les piano dan matematika,Memiliki tempat les sendiri adalah keinginan Hima
Foto di meja kamar Hesti merupakan foto dirinya dan kedua orang tuanya.,Sekarang Hesti berada di tempat yang jauh dari rumah.,Sudah setahun berlalu sejak terakhir Hesti berkumpul dengan Ayah dan Bunda.,"Hesti rindu sekali dengan orang tuanya, ia ingin bertemu.",Hesti berencana untuk pulang ke rumah dua bulan lagi pada saat hari raya.,Hesti tidak akan pulang ke rumah pada saat hari raya nanti.
Teriakan Dana mengagetkan banyak anak.,Sekarang adalah jam istirahat pertama di sekolah.,Sebuah bola basket terlihat melayang dari arah Dana dan teman-temannya yang sedang bermain basket.,Bola tersebut mengarah ke Vera yang berjalan melintasi lapangan sekolah dengan telinga terpasang earphone.,"Dana berusaha berlari menghampiri Vera tetapi terlambat, kepala Vera sudah terhantam bola basket.",Dana berusaha berlari menuju gerbang sekolah.
Ova membersihkan meja ruang tamu dengan kemoceng.,Ova melakukannya sambil melamun.,Ia memikirkan tugas mengarangnya yang baru selesai setengah.,Kemoceng yang dipakai Ova tanpa sengaja menyenggol vas bunga di atas meja.,Vas bunga tersebut jatuh dan pecah.,Vas bunga tersebut berwarna putih.
Ibu berpamitan kepada Uli,Ibu akan pergi ke rumay kakaknya,Ada hal penting yang harus segera dibicarakan,Uli menurut untuk tinggal di rumah saja,Uli tidak ikut pergi dengan ibu,Ibu dan Uli pergi bersama ke pusat perbelanjaan
Alcatraz menyukai pelajaran berhitung,Alcatraz sering mengikuti lomba matematika tingkat Nasional,Vion adalah teman sekolah Alcatraz yang juga suka berhitung,Vion tidak suka mengikuti lomba matematika tingkat Nasional,Alcatraz dan Vion menyukai pelajaran berhitung,Alcatraz tidak pernah mengikuti lomba matematika tingkat Nasional
Siswa SD Harapan akan karyawisata ke kebun binatang sebagai penanda kenaikan kelas,Mereka pergi naik bus karyawisata,Lila mendapat kursi di belakang karena ia terlambat datang,Ia merasa pusing dan mual duduk di kursi belakang,"Di tengah perjalanan, Lila muntah karena pusing",Ia lebih memilih untuk menyetir bus kelasnya
Wiwit baru saja membeli teleskop mini,Ia membeli setelah menabung sekian lama,Wiwit ingin membeli teleskop setelah ia pergi ke planetarium tahun lalu,Ia meletakkan teleskop itu di kamarnya,Ia menggunakan teleskop itu untuk mengamati bintang,Teleskop itu hanya digunakan saat Wiwit mengerjakan PR
Kecerobohan Aris berakibat buruk.,Aris semalam lupa mematikan keran air.,Ia tertidur ketika sedang menunggu bak mandi penuh.,Aris terbangun di pagi hari ketika ponselnya yang terdorong jatuh ke lantai mengeluarkan bunyi plung.,Air telah menggenangi lantai kamar Aris.,Air telah surut.
Makan malam sudah tersaji di meja makan.,"Ada nasi putih, sayur asam, ikan kembung goreng, lengkap dengan sambal terasi ",Semuanya adalah makanan kesukaan Rendy.,Ibu khusus memasaknya untuk merayakan keberhasilan Rendy lulus ujian kenaikan tingkat taekwondo tadi siang.,"Sebelum makan, Rendy mengucapkan terima kasih kepada Ibu atas masakannya malam ini.","Sebelum makan, Rendy bertanya kenapa ikan kembungnya hanya ada satu."
Reno kesal sekali pada pengendara motor di hadapannya,Pengendara ini mengebut di jalan,Kecepatannya yang tinggi membuatnya telat berhenti,Akhirnya motor itu menabrak bagian belakang mobil Reno,"Namun, pengendara itu malah menyalahkan Reno",Pengendara motor harus menggunakan helm
Julia merasa hidupnya tak ada artinya,Gara hadir ke hidup Julia,Gara menawarkan tawa dan senyuman,Julia menerima kebahagiaan yang diberikan Gara,Julia merasa hidupnya lebih berwarna,Julia ingin mengakhiri hidupnya saja
Barry harus menciptakan musik yang dinamis,Kelompok Barry harus menjalani ujian senam,Barry meminta saran dari teman-temannya,Barry dan kelompoknya berlatih dengan keras,Kelompok Barry menjadi kelompok dengan gerakan senam terbaik,Barry tidak bisa menciptakan musik
Nuel sulit tidur di malam hari,Nuel lebih memilih tidur di pagi hari,Kebiasaan Nuel tidak baik untuk kesehatannya,Nuel juga memiliki kualitas tidur yang buruk,Nuel sering merasa mengantuk ,Nuel mudah tidur ketika dia ingin tidur
Indonesia sedang dilanda pandemi,Masyarakat harus menjaga diri,Pemerintah melarang masyarakat untuk berkerumun,Dilan menyelenggarakan pesta di rumahnya,Dilan melanggar hukum yang telah ditetapkan pemerintah,Dilan tidak bersalah jika berkerumun
Petani menanam padi dengan teknik tumpang sari,Lahan di desa para petani sangat terbatas,Petani mencegah terjadinya longsor,Petani menerapkan ilmu yang diajarkan nenek moyang mereka,Nenek moyang para petani juga menggunakan teknik tumpang sari,Banyak lahan kosong di desa para petani
"Sudah empat jam berlalu, tetapi bus yang membawa rombongan SD Harapan masih tertahan",Bus mereka terkena dampak pengalihan arus di jalur puncak,Anak-anak sudah mulai bosan menunggu lama di dalam bus,Guru-guru berinisiatif untuk menghibur anak-anak yang bosan,Mereka mengajak anak-anak untuk mengelilingi kebun teh yang ada di sekitar mereka,Mereka mendorong bus bersama-sama agar cepat sampai
Minggu kemarin Didit masuk rumah sakit,Dia terkena penyakit usus buntu,Akhir-akhir ini dia sering sekali memakan junk food,Sekarang dia menjadi jera,Dia tidak akan makan junk food lagi,Didit tidak bisa menolak godaan junk food
Kepala Melvin masih terasa pusing,"Pada jam olahraga, kelasnya sedang praktek voli","Dengan semangat, Melvin mengikuti gerakan dari kartun kesukaannya","Bukannya berhasil memukul bola, benda bundar itu justru mengenai kepalanya",Akibatnya ia harus istirahat di ruang kesehatan,Melvin memarahi bola yang membuatnya pusing
Nova adalah ketua organisasi keilmuan,Gibran ketua organisasi kesenian,Nova dan Gibran berada di bidang yang berbeda,Nova tidak bisa bergabung dengan Gibran,Gibran memaksa Nova untuk masuk ke organisasinya,Nova hanya menjadi anggota organisasi
Adit berpisah dengan Alma lima tahun lalu,Adit pergi tanpa sempat mengucapkan salam perpisahan,Kali ini Adit ingin bertemu dengan Alma,Acara reuni sekolahnya akan menjadi ajang baginya bertemu Alma kembali,Adit pasti datang ke acara reuni tersebut,Adit mengucapkan salam perpisahan sambil menangis lima tahun yang lalu
Norman ingin menjadi presiden di organisasinya,Norman harus mengikuti rangkaian pemilihan umum,Norman melakukan kampanye agar orang-orang memilihnya,Norman berhasil mengambil hati banyak orang dibandingkan lawannya,Normal memenangkan pemilihan umum,Norman menjadi tim sukses dari kampanye lawan
Sandhika sangat merindukan ayahnya,Ayah Sandhika meninggal saat ia masih kecil,Sandhika berharap dapat memutar ulang waktu,Sandhika ingin bertemu lagi dengan ayahnya,Keinginan Sandhika mustahil untuk terwujud,Sandhika selalu pergi dengan ayahnya
Minfa membeli banyak bantal,Minfa membeli dua bantal bulat,Minfa juga membeli dua bantal cinta,Minfa meletakkan bantal tersebut di ruang santai,Minfa memiliki empat bantal di ruang santainya,Minfa tidak suka membeli bantal
Banjir kembali melanda komplek perumahan Raisa,"Mau tidak mau, keluarganya harus mengungsi sementara",Mereka mengungsi ke rumah kakek,Raisa membawa semua kebutuhan sekolahnya yang masih bisa diselamatkan,"Meski beberapa bukunya basah, tetapi buku-buku tersebut masih bisa digunakan",Ia menjualnya untuk membeli perahu karet
"Sejak kecil, Aura senang mengumpulkan barang-barang bekas","Ia mengumpulkan barang-barang bekas kecil seperti botol plastik, kertas kado dan tutup botol",Barang-barang bekas itu ia bersihkan dan diubah menjadi pernak-pernik unik,"Sementara, barang bekas yang belum dipakai ia simpan di ruangan khusus",Hasil karyanya ia jual kepada teman-temannya,Rumah Aura sangat menjijikkan
Anggi tidak bisa makan jika tidak ada kerupuk.,Di rumah Anggi selalu tersedia satu stoples besar berisi kerupuk.,"Ketika makan nasi dengan lauk dan sayur apa pun, Anggi pasti menambahkan kerupuk.","Makanan berkuah seperti bakso, soto, ataupun sup, juga dimakan dengan kerupuk oleh Anggi.",Anggi sangat menyukai kerupuk.,Anggi tidak suka makan kerupuk.
Sekar suka meminum teh,Sachi suka meminum susu,Sekar dan Sachi pergi ke restoran,Sekar dan Sachi memesan minuman,Sekar memesan teh dan Sachi memesan susu,Sekar dan Sachi tidak mampu pergi ke restoran
Ririn membuat skenario untuk pementasan drama,Pemain drama menghafalkan skenario yang dibuat oleh Ririn,Ririn sangat pandai dalam membuat skenario,Sutradara memuji hasil kerja keras Ririn,Skenario yang dibuat Ririn sangat bagus dan detail,Ririn hanya bisa menari latar dalam pementasan drama
Cila memelihara seekor burung merpati,Cila menceritakan banyak hal kepada burung merpati,Burung merpati selalu diam mendengarkan,Burung merpati sering terbang namun tahu arah pulang,Cila sangat menyayangi burung merpatinya,Burung merpati Cila hilang
Fanya harus berpidato di hadapan banyak orang,Fanya merasa sangat grogi,Fanya takut mempermalukan dirinya sendiri,Chiara menyemangati Fanya untuk percaya diri,Fanya berhasil berpidato dengan baik berkat dukungn Chiara,Fanya tidak mau berpidato
Tiro sangat senang mencoba hal baru,Tiro tidak memiliki tempat tinggal tetap,Tiro hidup secara nomaden,Tiro tidak memiliki tempat untuk pulang,Tiro menikmati hidupnya yang bebas,Tiro selalu ingin pulang ke rumahnya
"Sore itu, lapangan bola di sekolah sangat ramai","Seperti biasa, tim sepakbola sekolah berlatih untuk persiapan pertandingan","Sayangnya, Mamat hanya bisa melihat dari kejauhan",Kakinya sedang cedera dan tidak diperbolehkan ikut sepak bola untuk sementara,Ia sangat sedih dan ingin segera sembuh,Mamat berganti olahraga menjadi bola voli
Andi dan Indra sangat suka bermain board game,Board game kesukaan Andi dan Indra adalah board game klasik ,Mereka mengoleksi berbagai board game di rumah,Andi dan Indra sering mengajak teman-temannya untuk ikut bermain board game bersama,Mereka senang bisa berbagi keseruan dengan teman-teman lewat board game,Hal ini dilakukan agar teman-temannya kecanduan bermain board game dan jadi malas belajar
Tito terpilih menjadi ketua kelas lagi di kelas 11 IPS 3 sekarang.,"Ketika kelas 10, Tito juga terpilih menjadi ketua kelas.","Tito tidak pernah mencalonkan diri, tetapi ia tidak bisa menolak jika dicalonkan.",Tito tidak tahu caranya menolak tanpa menimbulkan rasa tidak enak baik pada dirinya mau pun pada sekitarnya.,Akhirnya Tito selalu pasrah dan menjalankan saja apa pun tugas yang diberikan kepadanya.,Akhirnya Tito berniat pindah kelas agar tidak perlu menjadi ketua kelas.
Erin mengukir prestasi yang membanggakan,Erin mengikuti banyak lomba selama sekolah,Erin tidak mau mengalami kekalahan,Erin selalu berusaha keras untuk menanf,Erin tidak bisa bersikap supportif,Erin hanya pasrah dengan hasil setiap lombanya
"""gadis, ayo keluar dan main hujan!"" Suara manis yang selalu ditunggu gadis ketika hujan turun akhirnya datang.","Seperti biasa, gadis selalu senang ketika hujan, apalagi hujan di sore hari.","Karena ia akan dapat bermain hujan dengan temannya, ari.","""ayoo ari, kita hanyutkan perahu kertas ini"" ucap gadi dengan semangat sambil memberi sebuah perahu kertas pada ari.","Ari mengambil perahu kertas itu, lalu berlari ditengah hujan menyusul si gadis dengan riang.","""Ayo ari, bekalmu sudah siap kan?"" ucap si gadis lagi."
Zane pergi berlibur ke kebun binatang,Kiano juga ikut Zane ke kebun binatang,Zane mengambil beberapa gambar binatang,Kiano meminta Zano untuk mengambilkan gambarnya,Zano menuruti permintaan Kiano,Zane berlibur sendirian ke kebun binatang
Gabriel akan segera menjadi seorang ayah,Istri Gabriel sedang berusaha melahirkan anaknya,Gabriel mendoakan agar anak dan istrinya selamat,Istri Gabriel tidak dapat diselamatkan,Gabriel kehilangan istri dan anaknya,Gabriel telah menjadi seorang ayah dari kelahiran anak pertamanya
Seorang hakim harus memutuskan perkara di dalam sidang,Hakim harus memiliki keadilan,Ervino sering tidak adil ketika membuat keputusan,Ervino tidak bekerja di bidang hukum dan persidangan,Ervino tidak bekerja menjadi seorang hakim,Ervino seorang hakim yang adil
Revan duduk di kursi halte bus dekat sekolahnya.,Bus yang menuju rumahnya tidak datang-datang.,Revan sudah menunggu selama satu jam.,Ia mulai merasa lelah karena malam semakin larut.,Akhirnya Revan memutuskan untuk pulang ke rumah naik ojek saja.,Akhirnya Revan memutuskan untuk membeli bakpao di dekat halte bus.
Catarina menangis sedih,Bayang-bayang sahabatnya tidak juga pergi dari ingatannya,Catarina ingin melepas kesedihannya,Catarina merindukan sahabatnya,Catarina tidak bisa melupakan sahabatnya,Catarina adalah orang yang sangat mudah melupakan sesuatu
"Sejak kemarin, Irma tidak berhenti buang-buang air",Kemarin ia menemukan sebotol soda di kulkas,Ia langsung meneguk cukup banyak,Ternyata isinya adalah cuka pempek yang sangat pedas,Akhirnya Irma diare karena meminum cuka terlalu banyak,Irma meminum cuka terlalu sedikit akhirnya sakit perut
Ella tinggal di sebuah kontrakan kumuh,Ella tidak memiliki orang tua atau keluarga,Ella bekerja untuk memenuhi kebutuhan hidupnya,Ella tidak melanjutkan sekolahnya,Ella hanya memikirkan bagaimana agar esok ia tetap dapat makan,Ella tinggal bersama adiknya
Tian tinggal di sebelah rumah kosong,Tian selalu takut jika melewati rumah kosong tersebut,Tian berteriak jika ada sesuatu yang menyeramkan,Tian berlari dan berteriak ketakutan saat melewati rumah kosong tersebut,Tian adalah anak yang penakut,Tian berani berada di dalam rumah kosong tersebut
Penumpang bus masih emosi,Seorang copet tertangkap basah saat melakukan aksinya,Ia hendak mengambil dompet seorang penumpang,Penumpang bus yang marah langsung menyerang copet tersebut,Supir bus mengingatkan agar penumpang tidak main hakim sendiri,Dompet sebaiknya diletakkan di tempat aman
Ratna meraih peringkat pertama di kelas,Erin meraih peringkat sepuluh,Ratna mengejek Erin yang berada di bawahnya,Erin tidak mendengarkan ejekan Ratna,Erin tidak peduli dengan orang-orang yang menjelekkannya,Erin marah dengan ejekan Ratna
"Setiap berkumpul, keluarga besar Pak Miro akan mengadakan bakar sate",Biasanya mereka berbagi tugas,Sebagian bertugas menyiapkan daging dan bumbu,Sisanya bertugas untuk menyiapkan alat bakar sate,Sate yang sudah jadi dimakan bersama-sama,"Sate dapat dibuat dari berbagai hewan, seperti kambing dan sapi"
Sari menjalin hungan jarak jauh dengan Tiroi,Tiroi harus bekerja di kota seberang,Sari harus menetap untuk tetap berkuliah,Sari dan Tiroi rajin berkabar setiap waktu,Sari dan Tiroi dapat melalui hubungan jarak jauh mereka,Sari mengkhianati Tikno
"""Enteng sekali kau mengatakan cinta2. Memangnya apa itu cinta?"" ucapnya sambil mengunyah makanan.","""Bagiku cinta itu bukan teori yang harus dijabarkan pengertiannya. "" Aku menjawab dengan bersemangat ","""Lalu bagaimana kau bisa tau siapa orangnya?"" tanya-nya lagi.","""Kau akan tau orangnya saat kau merasakan getarnya. Semudah itu. Dan seindah itu"" suaraku agak kumur-kumur ketika menjawabnya.","""Absurd sekali"" Ia terlihat tidak berminat membahas hal ini dan langsung mengalihkan ke topik lain.",Pelayan itu menggunakan bsana yang serasi dengan dekorasi toko.
Kelompok Indra memutuskan untuk mengerjakan tugas di kontrakan Jio,"Sesampainya di kontrakan Jio, mereka semua kaget",Kontrakan Jio sangat kotor,"Bajunya berserakan, tidak terpisah antara yang bersih dan kotor",Mereka memutuskan membantu Jio bersih-bersih sebelum mengerjakan tugas,"Agar kamar nyaman, ada baiknya diberi pengharum ruangan"
Zuzu adalah anak yang boros,Ia seringkali menghamburkan uang untuk barang yang tidak ia butuhkan,Uang jajan yang diberikan oleh orangtuanya selalu habis,Setiap hari ia membuka situs belanja online,Akhirnya Ibu bertindak tegas dan mengurangi uang jajannya,Ia membuka situs tersebut untuk bekerja
Adik suka roti keju,Kakak menyukai roti coklat,Mama hanya membeli roti coklat,Adik tidak menyukai roti coklat,Adik tidak mendapatkan roti,Adik mengambil semua roti keju
Cakka tersadar dari tidurnya.,Suara ketukan pintu membangunkannya.,Jam dinding menunjukkan pukul tiga sore.,Terdengar suara Ibu dari luar pintu kamarnya seiring dengan ketukan pintu.,Ibu menyuruh Cakka untuk bersiap-siap karena sebentar lagi guru lesnya akan datang.,Ibu menyuruh Cakka untuk tidur lagi.
Ariani mengalami patah hati yang hebat,Pacar Ariani berselingkuh di belakangnya,Ariani tidak bisa mempercayai orang lain lagi,Ariani membenci pacarnya,Ariani langsung memutuskan pacarnya saat itu juga,Ariani memaafkan pacarnya
Kiran menjadi agen rahasia,Kira diberikan banyak fasilitas,Kiran mengetahui barang terbaru di bidang teknologi,Kiran menggunakan banyak benda untuk mendukung pekerjaannya,Kiran merahasiakan pekerjaannya ,Kiran diberikan fasilitas yang sangat memadai untuk bekerja
Galvin diajarkan Bian menggunakan tombak,Galvin tidak bisa memainkan tombak,Bian tidak menyerah mengajari tombak,Galvin akhirnya bisa menangkap ikan dengan tombaknya setelah 3 minggu berlatih,Bian telah berhasil mengajari Galvin,Galvin dan Bian tidak pernah melihat tombak sebelumnya
Ani adalah anak yang ceria.,"Setiap pulang sekolah, ani menonton film kesukaannya di televisi.",Ia menonton film itu sambil menyantap makan siang buatan ibunya.,Namun suatu hari ani tidak sempat menonton film tersebut karena harus belajar kelompok.,Ani sangat sedih karena ia akan ketinggalan satu episode yang tidak akan ditayangkan kembali.,Ani juga anak yang sangat manis.
Paman Lestari meninggal dunia,Lestari ikut mengantarkan jenazah pamannya,Jenazah dimasukkan ke dalam keranda,Tetangga membantu mengangkat keranda,Orang tua Lestari ikut mengiringi jenazah menuju pemakaman,Paman Lestari mengangkat kerandanya sendiri
Juan pergi ke kantor dengan metromini,Ada pengamen di metromini,Pengamen meminta sedikit uang dari Juan,Juan tidak memberikan uang kepada pengamen,Juan tidak memiliki uang kecil,Pengamen merampok uang Juan
Diana mengikuti perlombaan bidang non akademis,Pemenang dari perlombaan tersebut akan menjadi duta pelajar berkarakter,Diana memberikan kemampuannya yang terbaik untuk menjadi pemenang perlombaan,Diana menjadi juara pertama perlombaan tersebut,Diana dinobatkan menjadi duta pelajar berkarakter,Diana menyerah dengan lomba bidang non akademis tersebut
